Country,City,Address,LocationID
China,Kalatongke,Manley,260
United States,Tucson,Donald,261
Indonesia,Kliteh,Corry,262
Philippines,Maigo,Crescent Oaks,263
Sweden,Mölndal,Corscot,264
Honduras,Florida,Monterey,265
Russia,Vnukovo,Tennyson,266
China,Hangji,Spohn,267
Yemen,Rajūzah,Almo,268
Peru,Colca,Tony,269
Brazil,Rosário do Sul,Rusk,270
China,Yanjiatai,New Castle,271
Poland,Borzęcin,Ohio,272
Kazakhstan,Ülken,Atwood,273
Indonesia,Ulimonong,Golf,274
China,Jingtailu,Canary,275
China,Zhong’an,Goodland,276
Philippines,Guyam Malaki,Farragut,277
Norway,Molde,Dwight,278
Lithuania,Eišiškės,Schurz,279
United Kingdom,West End,Susan,280
China,Jianyi,Miller,281
Philippines,Bolaoit,Little Fleur,282
China,Heshan,Corry,283
Honduras,Concepción de la Barranca,Schlimgen,284
Thailand,Non Sila,Anhalt,285
Russia,Taganrog,Pankratz,286
China,Jiangkou,Schlimgen,287
Indonesia,Tegalrejo,Canary,288
Lesotho,Butha-Buthe,Vermont,289
Indonesia,Tadabliro,Novick,290
Iran,Sūrīān,Eagle Crest,291
Peru,San Pedro de Lloc,Morningstar,292
Indonesia,Palaihari,Grover,293
Russia,Donskoy,Oneill,294
Ukraine,Toshkivka,West,295
Brazil,Além Paraíba,Division,296
Poland,Pęczniew,Fuller,297
China,Shangping,Scoville,298
China,Shaogongzhuang,Holmberg,299
Indonesia,Bajawa,Gina,300
Vietnam,Thị Trấn Kim Tân,Old Gate,301
China,Tehetu,Steensland,302
Indonesia,Bancak Wetan,Elka,303
Indonesia,Kalijeruk,Dahle,304
Ukraine,Bilozerka,Katie,305
Cuba,San Luis,Scofield,306
Azerbaijan,Əhmədbəyli,Schlimgen,307
Sweden,Södertälje,Lawn,308
Philippines,Rimus,Sheridan,309
Morocco,Mellila,Riverside,310
Argentina,San José de Jáchal,Cardinal,311
Netherlands,Zeewolde,Sullivan,312
Russia,Severoural’sk,Helena,313
Japan,Hagi,Holmberg,314
China,Guojia,Everett,315
Honduras,Agualote,Barby,316
China,Chenzhuang,Sommers,317
Indonesia,Cibitung,Milwaukee,318
Russia,Monastyrshchina,Hintze,319
Dominican Republic,Sabana Iglesia,Michigan,320
China,Lianzhou,Merrick,321
Brazil,Itapemirim,Kingsford,322
Bulgaria,Dimovo,Buhler,323
China,Li’an,Norway Maple,324
China,Lianghekou,Sage,325
United States,El Paso,4th,326
China,Rongxiang,Maryland,327
Switzerland,Chur,Bashford,328
Mali,Araouane,Kropf,329
Greece,Kréstena,Hermina,330
Kuwait,Kuwait City,Wayridge,331
South Africa,White River,Briar Crest,332
Sweden,Mörrum,Village Green,333
Serbia,Aleksandrovac,Grasskamp,334
United States,Columbus,Bellgrove,335
Indonesia,Jatisari,Blackbird,336
Portugal,Oliveira,Grasskamp,337
Costa Rica,Aserrí,Rusk,338
Greece,Spárti,Ryan,339
Indonesia,Semerak,Susan,340
Indonesia,Warudoyong,Forest,341
Ukraine,Zalishchyky,Walton,342
Israel,‘Arad,Northwestern,343
Philippines,Catarman,Oxford,344
Indonesia,Karanganyarkrajan,Birchwood,345
Japan,Bihoro,Starling,346
Peru,Sucre,Independence,347
China,Nanying,Starling,348
Japan,Shimokizukuri,Brickson Park,349
Philippines,Balud,Golf View,350
Paraguay,Unión,Goodland,351
Malta,Ta’ Xbiex,Nobel,352
Indonesia,Ketapang,Messerschmidt,353
Philippines,Maguilling,Shelley,354
Rwanda,Nzega,Sherman,355
China,Jianshe,Ilene,356
Philippines,Kimanuit,Manley,357
Sweden,Linköping,Tomscot,358
Indonesia,Walahir,Moulton,359
France,Cluses,Porter,360
Sweden,Stockholm,Forest Dale,361
Canada,Victoria,Acker,362
Indonesia,Rokoy,Grayhawk,363
United States,El Paso,Clyde Gallagher,364
Ukraine,Lyubymivka,Maple,365
Canada,Crossfield,Comanche,366
China,Jiangchuan,Hintze,367
Indonesia,Kawangu Satu,Stephen,368
Czech Republic,Nový Knín,Meadow Vale,369
Ukraine,Krasnokuts’k,Eliot,370
China,Zhihe,Oak,371
Indonesia,Sungai Iyu,Blackbird,372
Indonesia,Siderejo,Service,373
Morocco,Fkih Ben Salah,Blackbird,374
Israel,‘Uzeir,Mayfield,375
Russia,Timashëvsk,Mandrake,376
Czech Republic,Olbramovice,Lunder,377
North Korea,Wŏnsan,Longview,378
Russia,Belogorsk,Golf Course,379
Mexico,Santa Elena,Granby,380
Sweden,Motala,Marcy,381
China,Xiashan,Sycamore,382
Rwanda,Kigali,Morning,383
Kyrgyzstan,Bishkek,Hoffman,384
Netherlands,Rijswijk,Cottonwood,385
Greece,Palaiochóri,Superior,386
China,Zhendong,Northridge,387
Canada,Sainte-Martine,Holy Cross,388
China,Tuanlin,Hollow Ridge,389
Portugal,Carvoeira,Summit,390
China,Yanyang,Atwood,391
China,Litian,Becker,392
China,Tumen,Buena Vista,393
Brazil,Guarapuava,Carey,394
Colombia,El Doncello,Westend,395
Indonesia,Baluk,Continental,396
Brazil,Itabaiana,Sutherland,397
Philippines,Candon,Green,398
Brazil,Itamarandiba,Tennessee,399
Philippines,Santo Niño,Eagle Crest,400
France,Lisieux,Mallory,401
Colombia,Granada,Tony,402
Kenya,Eldama Ravine,Thackeray,403
Poland,Łąka Prudnicka,Parkside,404
France,Toulon,Division,405
Croatia,Vojnić,Harbort,406
Russia,Kalashnikovo,Hanover,407
United States,Boca Raton,Pawling,408
Poland,Jankowice,Bunting,409
Palestinian Territory,Shūkat aş Şūfī,Dottie,410
Cuba,Guantánamo,Algoma,411
China,Tuhe,Lien,412
China,Fengjiang,Maple Wood,413
Philippines,Armenia,Warbler,414
Poland,Krasne,Russell,415
Brazil,Niquelândia,Vermont,416
China,Jinquan,Upham,417
Nigeria,Zuru,Pepper Wood,418
Finland,Ilmajoki,Cherokee,419
North Korea,Sinmak,Warbler,420
Russia,Kayasula,Rutledge,421
Philippines,Binucayan,Sauthoff,422
Indonesia,Labansari,Helena,423
Philippines,Alfonso,Summerview,424
China,Juntang,Red Cloud,425
Philippines,Malita,Cherokee,426
Indonesia,Jorong Lauk,High Crossing,427
China,Jing’an,2nd,428
Nicaragua,Granada,Merrick,429
China,Caobi,Browning,430
China,Taojiahe,Browning,431
Philippines,Tiwi,Northridge,432
Czech Republic,Dobšice,Calypso,433
Poland,Stara Błotnica,Steensland,434
Russia,Ekimchan,Mitchell,435
China,Tonggu,Bonner,436
Tunisia,Banbalah,Reinke,437
Poland,Stoczek Łukowski,Mallard,438
China,Chaiwan,Heath,439
China,Damai,Mallard,440
Indonesia,Kabare,Lakeland,441
Niger,Tahoua,Novick,442
Sweden,Kungshamn,Hazelcrest,443
Russia,Glushkovo,Toban,444
China,Xixiang,Eastlawn,445
Azerbaijan,Sumqayıt,Esch,446
Guatemala,Chiantla,Dorton,447
China,Maojiadian,Dixon,448
China,Haiyu,Shopko,449
Sweden,Trollhättan,Dapin,450
Philippines,Malainen Luma,Maple,451
Indonesia,Talok,Declaration,452
Czech Republic,Bělá pod Bezdězem,Susan,453
Portugal,São Pedro,Jackson,454
Norway,Oslo,Arizona,455
Afghanistan,Khulm,Laurel,456
Indonesia,Nakajah,Briar Crest,457
Philippines,Nama,Sullivan,458
Finland,Kuhmo,Meadow Vale,459
Portugal,Valada,Dixon,460
Ireland,Swords,Darwin,461
Netherlands,Utrecht (stad),Dexter,462
Russia,Mariinsk,Anniversary,463
Guatemala,El Estor,Maryland,464
Portugal,Barrosa,Fieldstone,465
Russia,Islamey,Carey,466
Vietnam,Quỳ Châu,Forest Dale,467
Norway,Ålesund,Golden Leaf,468
Czech Republic,Kobylí,Lakewood Gardens,469
Iraq,Ramadi,Claremont,470
China,Huangzhuang,Autumn Leaf,471
Dominican Republic,Bella Vista,Aberg,472
South Africa,Mthatha,Kingsford,473
Honduras,Las Ánimas,Upham,474
Canada,Spirit River,Fisk,475
Indonesia,Neundeut,Goodland,476
China,Miaofengshan,American Ash,477
China,Yiyang,Luster,478
Vietnam,Bằng Lũng,Stone Corner,479
Sweden,Stockholm,6th,480
China,Puqian,Chive,481
Japan,Ōno-hara,Namekagon,482
Poland,Zbąszynek,Mitchell,483
Malaysia,Kuantan,Dorton,484
Indonesia,Caper,Rigney,485
Argentina,Aluminé,Gerald,486
Belgium,Ath,Waxwing,487
Yemen,Al Ḩarf,Jackson,488
China,Langxi,Linden,489
China,Chengmagang,Walton,490
Indonesia,Banjar Pande,Macpherson,491
Indonesia,Sukorejo,Everett,492
Indonesia,Margasari,Acker,493
Morocco,Chichaoua,Tomscot,494
Finland,Askainen,Sachtjen,495
Colombia,La Ceja,Hazelcrest,496
China,Yangjiao,Sycamore,497
Madagascar,Mananara,Fallview,498
Mongolia,Dzuunmod,Scoville,499
Russia,Sovetskiy,Warner,500
